Model,Accuracy Before,Accuracy After,F1 Before,F1 After,Precision Before,Precision After,Recall Before,Recall After,Composite Before,Composite After
Logistic Regression,0.52,0.61,0.4418604651162791,0.4507042253521127,0.36538461538461536,0.43243243243243246,0.5588235294117647,0.47058823529411764,0.4715171524781648,0.49093122326966565
Random Forest,0.6,0.58,0.23076923076923078,0.19230769230769232,0.3333333333333333,0.2777777777777778,0.17647058823529413,0.14705882352941177,0.33514328808446453,0.29928607340372043
