Model,Accuracy,F1,Precision,Recall,ROC-AUC,CV Score,CV Std,composite
Random Forest,0.88,0.9047619047619048,0.8260869565217391,1.0,0.9310485516115871,0.892,0.011661903789690611,0.902712215320911
Gradient Boosting,0.88,0.9047619047619048,0.8260869565217391,1.0,0.9355365157078743,0.892,0.017204650534085267,0.902712215320911
