Model,Accuracy,F1,Precision,Recall,ROC-AUC,CV Score,CV Std,composite
Gradient Boosting,0.9,0.9180327868852459,0.8615384615384616,0.9824561403508771,0.9534883720930233,0.874,0.02059126028197402,0.9155068471936462
Random Forest,0.89,0.912,0.8382352941176471,1.0,0.9359445124439003,0.876,0.016248076809271934,0.9100588235294118
Extra Trees,0.89,0.9105691056910569,0.8484848484848485,0.9824561403508771,0.9357405140758874,0.8640000000000001,0.022449944320643664,0.9078775236316956
Logistic Regression,0.87,0.8907563025210085,0.8548387096774194,0.9298245614035088,0.9298245614035088,0.858,0.023151673805580475,0.8863548934004841
