Model,Accuracy Before,Accuracy After,F1 Before,F1 After,Precision Before,Precision After,Recall Before,Recall After,Composite Before,Composite After
Gradient Boosting,0.9,0.88,0.9180327868852459,0.9047619047619048,0.8615384615384616,0.8260869565217391,0.9824561403508771,1.0,0.9155068471936462,0.902712215320911
Random Forest,0.89,0.88,0.912,0.9047619047619048,0.8382352941176471,0.8260869565217391,1.0,1.0,0.9100588235294118,0.902712215320911
