Model,Accuracy,F1,Precision,Recall,ROC-AUC,CV Score,CV Std,composite
Logistic Regression,0.61,0.4507042253521127,0.43243243243243246,0.47058823529411764,0.5746434937611409,0.538,0.03969886648255841,0.49093122326966565
Random Forest,0.58,0.19230769230769232,0.2777777777777778,0.14705882352941177,0.4877450980392157,0.584,0.0463033476111609,0.29928607340372043
